,Price/pc. (Training),Personell (Training),Number of Machines (Training),R&D (Training),Customer Support (Training),Marketing & Advertising (Training),Sales Quantity (Training)
Price/pc. (Training),"1,0","-0,610038558892918","0,01566300836467756","0,00010008702944249414","-0,227871976428081","-0,005637426069525327","-0,5343746868476735"
Personell (Training),"-0,610038558892918","1,0","-0,003339684823435954","-0,01921405092494603","0,4006929124993105","0,04611064341893492","0,8617610319166324"
Number of Machines (Training),"0,01566300836467756","-0,003339684823435954","1,0","-0,006497618966090743","-0,0008853184728544342","-0,009013160174331547","-0,00750910665087244"
R&D (Training),"0,00010008702944249414","-0,01921405092494603","-0,006497618966090743","1,0","-0,02879191547660229","0,00644424589667828","0,12458638272664382"
Customer Support (Training),"-0,227871976428081","0,4006929124993105","-0,0008853184728544342","-0,02879191547660229","1,0","0,03034202609525011","0,38764698033029826"
Marketing & Advertising (Training),"-0,005637426069525327","0,04611064341893492","-0,009013160174331547","0,00644424589667828","0,03034202609525011","1,0","0,2590118152933981"
Sales Quantity (Training),"-0,5343746868476735","0,8617610319166324","-0,00750910665087244","0,12458638272664382","0,38764698033029826","0,2590118152933981","1,0"
