,Price/pc. (Plan),Personell (Plan),Number of Machines (Plan),R&D (Plan),Customer Support (Plan),Marketing & Advertising (Plan),Sales Quantity (Plan)
Price/pc. (Plan),"1,0","-0,5598403429858448","-0,03790905556805747","0,06778090145820534","-0,06835129522806341","-0,036998173604503526","-0,5283813287959491"
Personell (Plan),"-0,5598403429858448","1,0","-0,16115588913986256","-0,08318349278743706","0,10279594849876617","0,07561890670374159","0,9320925432782255"
Number of Machines (Plan),"-0,03790905556805747","-0,16115588913986256","1,0","-0,4163084378592822","0,034402214409808764","-0,23377553931470704","-0,2827787875333761"
R&D (Plan),"0,06778090145820534","-0,08318349278743706","-0,4163084378592822","1,0","-0,07109152589447681","0,0658378859959645","0,10038832514617911"
Customer Support (Plan),"-0,06835129522806341","0,10279594849876617","0,034402214409808764","-0,07109152589447681","1,0","0,43558748660480745","0,25815185061368584"
Marketing & Advertising (Plan),"-0,036998173604503526","0,07561890670374159","-0,23377553931470704","0,0658378859959645","0,43558748660480745","1,0","0,39329199154529737"
Sales Quantity (Plan),"-0,5283813287959491","0,9320925432782255","-0,2827787875333761","0,10038832514617911","0,25815185061368584","0,39329199154529737","1,0"
