,Price/pc. (Actual),Personell (Actual),Number of Machines (Actual),R&D (Actual),Customer Support (Actual),Marketing & Advertising (Actual),Sales Quantity (Actual)
Price/pc. (Actual),"1,0","-0,5598403429858448","-0,03790905556805747","0,06778090145820534","-0,06835129522806341","-0,036998173604503526","-0,5054400284143195"
Personell (Actual),"-0,5598403429858448","1,0","-0,16115588913986256","-0,08318349278743706","0,10279594849876617","0,07561890670374159","0,9003805584930807"
Number of Machines (Actual),"-0,03790905556805747","-0,16115588913986256","1,0","-0,4163084378592822","0,034402214409808764","-0,23377553931470704","-0,2252082792874002"
R&D (Actual),"0,06778090145820534","-0,08318349278743706","-0,4163084378592822","1,0","-0,07109152589447681","0,0658378859959645","0,07240046757509289"
Customer Support (Actual),"-0,06835129522806341","0,10279594849876617","0,034402214409808764","-0,07109152589447681","1,0","0,43558748660480745","0,2774307232193078"
Marketing & Advertising (Actual),"-0,036998173604503526","0,07561890670374159","-0,23377553931470704","0,0658378859959645","0,43558748660480745","1,0","0,4368195637008742"
Sales Quantity (Actual),"-0,5054400284143195","0,9003805584930807","-0,2252082792874002","0,07240046757509289","0,2774307232193078","0,4368195637008742","1,0"
