,Price/pc. (Actual),Personell (Actual),Number of Machines (Actual),R&D (Actual),Customer Support (Actual),Marketing & Advertising (Actual),Sales Quantity (Actual)
count,"20,0","20,0","20,0","20,0","20,0","20,0","20,0"
mean,"0,6435000000000001","2529000,0","518,25","649500,0","354000,0","771500,0","36412856,7"
std,"0,4309997557698661","768744,0200879956","83,19721338956896","111943,3597381894","30157,481397002077","221484,8218632362","6911810,900962094"
min,"0,1","1560000,0","420,0","430000,0","290000,0","510000,0","24184636,0"
25%,"0,285","2100000,0","425,0","570000,0","330000,0","510000,0","33708695,75"
50%,"0,6","2355000,0","520,0","650000,0","370000,0","860000,0","35158150,0"
75%,"0,8825000000000001","2620000,0","620,0","737500,0","370000,0","1030000,0","38863373,0"
max,"1,43","4200000,0","630,0","790000,0","410000,0","1030000,0","51007084,0"
